Club
FC Barcelona
Bayern Munich
TSG 1899 Hoffenheim
Borussia Dortmund
Bayer 04 Leverkusen
Real Madrid
VfB Stuttgart
Eintracht Frankfurt
RB Leipzig
Brighton & Hove Albion
Arsenal FC
Norwich City
Motherwell FC
Heart of Midlothian FC
FC Copenhagen
Al-Ettifaq FC
Watford FC
Leeds United
Liverpool FC
Real Sociedad
Celtic FC
Bristol City
Manchester United
Aston Villa
Southampton FC
Rangers FC
AFC Bournemouth
New York Red Bulls
Ferencvárosi TC
Paksi FC
SC Freiburg
Hertha BSC
Parma Calcio 1913
Omonia Nicosia
Puskás Akadémia FC
Servette FC
Le Havre AC
Fehérvár FC
Spezia Calcio
1.FC Union Berlin
Barnsley FC
MTK Budapest
Philadelphia Union
HNK Hajduk Split
Kecskeméti TE
Újpest FC
Ulsan HD FC
Inter Milan
FC Lorient
Manchester City
Borussia Mönchengladbach
Newcastle United
VfL Wolfsburg
Torino FC
1.FSV Mainz 05
AS Monaco
FC Luzern
Bologna FC 1909
FC Toulouse
Stade Rennais FC
Chicago Fire FC
AC Milan
AEK Athens
FC Augsburg
FC Lugano
Burnley FC
Ludogorets Razgrad
Athletic Bilbao
Al-Nassr FC
Chelsea FC
Sevilla FC
Paris Saint-Germain
Villarreal CF
Real Betis Balompié
Atlético de Madrid
Fenerbahce
HNK Rijeka
Pafos FC
Ajax Amsterdam
US Lecce
US Sassuolo
Red Bull Salzburg
Atalanta BC
GNK Dinamo Zagreb
Feyenoord Rotterdam
CA Osasuna
Brentford FC
AS Cittadella
FC Empoli
FC Famalicão
CFR Cluj
Lokomotiv Moscow
FC Voluntari
SS Lazio
Rayo Vallecano
SV Darmstadt 98
Grasshopper Club Zurich
AC Sparta Prague
Besiktas JK
Gwangju FC
Sivasspor
FC Baniyas
Rubin Kazan
Tottenham Hotspur
SSC Napoli
AS Roma
Juventus FC
Hellas Verona
Genoa CFC
APOEL Nicosia
Vejle Boldklub
Udinese Calcio
Orlando City SC
FC Sochi
Viborg FF
Alanyaspor
Górnik Zabrze
UC Sampdoria
NK Celje
SK Sturm Graz
Spartak Trnava
Panathinaikos FC
NK Olimpija Ljubljana
FC Südtirol
NK Maribor
Pisa Sporting Club
FC Girondins Bordeaux
Pogon Szczecin
Everton FC
Crystal Palace
West Ham United
Leicester City
RSC Anderlecht
SL Benfica
Sporting CP
Club Brugge KV
RCD Mallorca
ACF Fiorentina
SV Werder Bremen
Spartak Moscow
FK TSC Backa Topola
Red Star Belgrade
Al-Hilal SFC
Fulham FC
Getafe CF
PAOK Thessaloniki
OGC Nice
Lech Poznan
1.FC Kaiserslautern
Atlanta United FC
Jagiellonia Bialystok
RC Lens
Antalyaspor
Basaksehir FK
Girona FC
PSV Eindhoven
Rapid Vienna
Bröndby IF
Union Saint-Gilloise
1.FC Köln
TSV Hartberg
Olympique Marseille
Al-Ittihad Club
Nottingham Forest
Luton Town
Trabzonspor
Olympique Lyon
Al-Shabab FC
New England Revolution
Cagliari Calcio
US Salernitana 1919
Hatta Club
Hamburger SV
KRC Genk
VfL Bochum
FC Banik Ostrava
Slovan Bratislava
SK Slavia Prague
FC Slovan Liberec
Ascoli Calcio
Boavista FC
FCSB
Gaziantep FK
Al-Okhdood Club
Raków Częstochowa
Palermo FC
CS Universitatea Craiova
Damac FC
Konyaspor
Deportivo Alavés
SSC Bari
Muaither SC
Dynamo Kyiv
Shakhtar Donetsk
LASK
SK Dnipro-1
Polissya Zhytomyr
KVC Westerlo
Valencia CF
Al-Ahli SFC
Galatasaray
West Bromwich Albion
LOSC Lille
Qarabağ FK
Dinamo Tbilisi
US Cremonese
Panetolikos GFS
Persepolis FC
FC Basel 1893
Levante UD
Wolfsberger AC
Cracovia
Dinamo Batumi
FC Metz
Karlsruher SC
FC Porto
Wolverhampton Wanderers
FC Viktoria Plzen
Twente Enschede FC
