id,internationalName,countryName,countryCode,age,birthDate,clubId,clubJerseyNumber,clubShirtName,countryOfBirthCode,detailedFieldPosition,fieldPosition,gender,imageUrl,nationalFieldPosition,nationalJerseyNumber,nationalShirtName,nationalTeamId,height,weight,club_name,club_name_short,club_countryCode,goals,goals_scored_with_right,goals_scored_with_left,goals_scored_head,goals_scored_other,goals_scored_inside_penalty_area,goals_scored_outside_penalty_area,penalty_scored,matches_appearance,distance_covered,minutes_played_official,assists,top_speed,attempts,attempts_on_target,attempts_off_target,attempts_blocked,passes_accuracy,passes_attempted,passes_completed,cross_accuracy,cross_attempted,cross_completed,free_kick,corners,offsides,dribbling,recovered_ball,tackles,clearance_attempted,saves,goals_conceded,saves_on_penalty,clean_sheet,punches,fouls_committed,fouls_suffered,yellow_cards,red_cards
250176450,Lamine Yamal,Spain,ESP,17,2007-07-13,50080,27,Lamine Yamal,ESP,UNKNOWN,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250176450.jpg,FORWARD,19,Lamine Yamal,122,NA,NA,FC Barcelona,Barcelona,ESP,1,0,1,0,0,0,1,0,7,55.32,507,4,33.3,18,7,7,4,79.86,196,161,27.78,18,5,6,12,3,32,13,10,1,0,0,0,4,0,7,6,1,0
250128377,Jude Bellingham,England,ENG,21,2003-06-29,50051,5,BELLINGHAM,NA,NA,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250128377.jpg,MIDFIELDER,10,Bellingham,39,NA,NA,Real Madrid CF,Real Madrid,ESP,2,1,0,1,0,2,0,0,7,75.23,671,1,33.5,6,3,1,2,85.58,358,311,0,7,0,3,0,0,28,14,24,5,0,0,0,2,0,6,16,2,0
250106939,Bukayo Saka,England,ENG,22,2001-09-05,52280,7,Saka,NA,WINGER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250106939.jpg,FORWARD,7,Saka,39,NA,NA,Arsenal FC,Arsenal,ENG,1,0,1,0,0,0,1,0,7,69.92,635,1,33.5,8,1,3,4,88.43,242,215,33.34,15,5,2,0,2,26,11,4,11,0,0,0,2,0,7,13,1,0
250101534,Phil Foden,England,ENG,24,2000-05-28,52919,47,Foden,NA,UNKNOWN,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250101534.jpg,MIDFIELDER,11,Foden,39,NA,NA,Manchester City,Man City,ENG,0,0,0,0,0,0,0,0,7,79.5,622,0,33.1,13,4,5,4,89.72,349,314,20.84,24,5,14,8,4,13,13,1,3,0,0,0,2,0,1,6,1,0
250097180,Mikel Oyarzabal,Spain,ESP,27,1997-04-21,50123,10,Oyarzabal,NA,STRIKER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250097180.jpg,FORWARD,21,Oyarzabal,122,NA,NA,Real Sociedad de Fútbol,Real Sociedad,ESP,1,1,0,0,0,1,0,0,7,25.49,197,1,32.1,6,3,2,1,80.72,59,56,50,2,1,1,0,1,3,2,2,3,0,0,0,5,0,3,2,0,0
250083732,Declan Rice,England,ENG,25,1999-01-14,52280,41,Rice,NA,NA,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250083732.jpg,MIDFIELDER,4,Rice,39,NA,NA,Arsenal FC,Arsenal,ENG,0,0,0,0,0,0,0,0,7,85.67,690,1,32,9,3,3,3,91.29,530,490,40,5,2,14,0,0,2,46,15,7,0,0,0,2,0,5,3,0,0
250080572,Mikel Merino,Spain,ESP,28,1996-06-22,50123,8,Merino,NA,CENTRAL_MIDFIELDER,MIDFIELDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250080572.jpg,MIDFIELDER,6,Merino,122,NA,NA,Real Sociedad de Fútbol,Real Sociedad,ESP,1,0,0,1,0,1,0,0,7,28.09,178,0,31.4,3,2,1,0,59.15,124,105,0,2,0,0,0,0,3,10,7,4,0,0,0,6,0,9,1,0,0
250064233,John Stones,England,ENG,30,1994-05-28,52919,5,Stones,NA,CENTRE_BACK,DEFENDER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250064233.jpg,DEFENDER,5,Stones,39,188,70,Manchester City,Man City,ENG,0,0,0,0,0,0,0,0,7,71.69,690,0,32.3,1,0,0,1,94.15,556,526,0,0,0,12,0,0,4,26,3,20,0,0,0,2,0,4,4,1,0
250024791,Jordan Pickford,England,ENG,30,1994-03-07,52281,1,Pickford,NA,GOALKEEPER,GOALKEEPER,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024791.jpg,GOALKEEPER,1,Pickford,39,185,77,Everton FC,Everton,ENG,0,0,0,0,0,0,0,0,7,41.61,690,0,30.7,0,0,0,0,77.72,294,225,0,0,0,15,0,0,0,0,0,5,17,6,0,2,5,0,0,0,0
250024456,Álvaro Morata,Spain,ESP,31,1992-10-23,50124,19,MORATA,NA,STRIKER,FORWARD,MALE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024456.jpg,FORWARD,7,Morata,122,189,85,Club Atlético de Madrid,Atlético de Madrid,ESP,1,0,1,0,0,1,0,0,7,52.92,454,0,32,14,4,6,4,74.29,105,78,100,2,2,0,0,3,2,5,10,3,0,0,0,5,0,12,9,1,0
